Listing title,CategoryName,OrderDate,Total Cost of Goods Sold,Total Net Sales,Gross Profit Margin,Gross Profit Margin %
,,January,$86 ,,-85.6,#NAME?
,,February,$460 ,,-460.22,#NAME?
,,March,$725 ,,-725.02,#NAME?
,,April,$341 ,,-340.94,#NAME?
,,May,$137 ,,-136.68,#NAME?
,,June,$62 ,,-62.37,#NAME?
44% Teeth Whitening Tooth Whitener Bleaching Professional Kit 10 White Gel USA!,Health & Beauty:Oral Care:Whitening,,,$14 ,14.23,100.00%
Armani Acqua di Giò Eau de Toilette 6.7 oz,Health & Beauty:Fragrances:Men's Fragrances,16-Feb-23,,$66 ,66.45,100.00%
CHANEL BLEU DE CHANEL Eau de Parfum - 3.4oz,Health & Beauty:Fragrances:Men's Fragrances,1/19/2023,,$45 ,44.73,100.00%
NEW - Redken All Soft Shampoo & Conditioner Liter 100% Authentic,Health & Beauty:Hair Care & Styling:Shampoos & Conditioners,14-Mar-23,,$30 ,29.84,100.00%
Spicebomb Extreme by Viktor & Rolf 3.04 oz EDP Cologne for Men New In Box,Health & Beauty:Fragrances:Men's Fragrances,15-Feb-23,,$119 ,119.4,100.00%
Versace Eros Men's Eau De Parfum - 3.4 oz,Health & Beauty:Fragrances:Men's Fragrances,19-Feb-23,,$60 ,59.98,100.00%
Y by Yves Saint Laurent YSL 3.3 / 3.4 oz EDP Cologne for Men New In Box,Health & Beauty:Fragrances:Men's Fragrances,16-Feb-23,,$72 ,71.89,100.00%
La Vie Est Belle Eau de Parfum Perfume Spray for WOMENS 3.4 OZ 100ml BRAND NEW!!,"Collectibles:Vanity, Perfume & Shaving:Perfumes:Other Perfume Collectibles",April,,$58 ,57.94,100.00%
MSI PRO Z690-A WIFI DDR5 LGA 1700 Intel Z690 SATA 6Gb/s ATX Intel Motherboard PR,Computers/Tablets & Networking:Computer Components & Parts:Motherboards,May,,$134 ,134.07,100.00%
Armani Acqua di Giò Eau de Toilette 3.4oz,Health & Beauty:Fragrances:Men's Fragrances,April,,$22 ,22.44,100.00%
Dior Sauvage Eau de Parfum - 3.4 oz,Health & Beauty:Fragrances:Men's Fragrances,May,,$81 ,80.88,100.00%
Light Blue by Dolce & Gabbana 4.2 oz Cologne for Men Tester with Cap 125 ml,Health & Beauty:Fragrances:Men's Fragrances,February,,$30 ,29.62,100.00%
mini cologne Burberry Brit for Men Brand New In Box,Health & Beauty:Fragrances:Men's Fragrances,March,,$28 ,28.28,100.00%
mini cologne Burberry Brit for Men Brand New In Box,Health & Beauty:Fragrances:Men's Fragrances,April,,$14 ,14.14,100.00%
mini cologne Versace Eros for Men Brand New In Box,Health & Beauty:Fragrances:Men's Fragrances,March,,$12 ,11.65,100.00%
mini cologne Versace Eros for Men Brand New In Box,Health & Beauty:Fragrances:Men's Fragrances,April,,$12 ,11.67,100.00%
Versace Eros Flame by Versace 3.4 oz EDP Cologne for Men New In Box NEW,Health & Beauty:Fragrances:Men's Fragrances,April,,$58 ,58.33,100.00%
Y by Yves Saint Laurent YSL 3.3 / 3.4 oz EDP Cologne for Men New In Box,Health & Beauty:Fragrances:Men's Fragrances,February,,$72 ,71.95,100.00%
Cashmere Mist by Donna Karan 3.4 oz / 100ml Women Eau de Parfum Brand New,Health & Beauty:Fragrances:Women's Fragrances,March,,$35 ,34.81,100.00%
CHANEL Chance Eau Tendre 100 ml/3.4 Oz EDP for Women | New in Sealed Box,Health & Beauty:Fragrances:Women's Fragrances,March,,$108 ,107.95,100.00%
"La Vie Est Belle Perfume by Lancome, 2.5 oz L'EDP Spray for Women NEW",Health & Beauty:Fragrances:Women's Fragrances,June,,$39 ,39.32,100.00%
Libre by Yves Saint Laurent YSL 3 oz EDP Perfume for Women New in Box,Health & Beauty:Fragrances:Women's Fragrances,March,,$94 ,94.15,100.00%
SUNFLOWERS by Elizabeth Arden 3.3 oz / 3.4 oz Perfume women EDT New tester,Health & Beauty:Fragrances:Women's Fragrances,June,,$13 ,13.31,100.00%
True Love by Elizabeth Arden EDT Perfume for Women 3.3 / 3.4 oz New In Box,Health & Beauty:Fragrances:Women's Fragrances,May,,$17 ,16.77,100.00%
NEW - Redken All Soft Shampoo & Conditioner Liter 100% Authentic,Health & Beauty:Hair Care & Styling:Shampoos & Conditioners,March,,$147 ,147.43,100.00%
Zotos Quantum Daily Shampoo for All Hair Types - 2 Pack / 33.8 fl oz each,Health & Beauty:Hair Care & Styling:Shampoos & Conditioners,June,,$45 ,44.84,100.00%
Makeup brush 20pcs Set Foundation Powder Eyeshadow Eyeliner Lip Cosmetic Brushes,Health & Beauty:Makeup:Makeup Tools & Accessories:Brushes,April,,$2 ,2.42,100.00%
Makeup brush 20pcs Set Foundation Powder Eyeshadow Eyeliner Lip Cosmetic Brushes,Health & Beauty:Makeup:Makeup Tools & Accessories:Brushes,May,,$2 ,2.42,100.00%
"DenTek Triple Clean Advanced Clean Floss Picks, No Break & No Shred Floss, 150 C",Health & Beauty:Oral Care:Dental Floss & Flossers,April,,$12 ,11.77875,100.00%
"DenTek Triple Clean Advanced Clean Floss Picks, No Break & No Shred Floss, 150 C",Health & Beauty:Oral Care:Dental Floss & Flossers,May,,$8 ,7.8525,100.00%
"DenTek Triple Clean Advanced Clean Floss Picks, No Break & No Shred Floss, 150 C",Health & Beauty:Oral Care:Dental Floss & Flossers,June,,$4 ,4.47,100.00%
45% DENTAL PROFESSIONAL STRENGTH WHITE GEL TOOTH TEETH WHITENING KIT (1) Light,Health & Beauty:Oral Care:Whitening,April,,$13 ,12.56,100.00%
6 Tubes Bamboo Charcoal Black Toothpaste Natural Teeth Whitening Oral Care,Health & Beauty:Oral Care:Whitening,May,,$26 ,26.02,100.00%
Teeth Whitening Essence Serum Gel Oral Hygiene Tooth Care Plaque Remover Cleaner,Health & Beauty:Oral Care:Whitening,April,,$11 ,10.85,100.00%
Best Naturals Serrapeptase 40000 SPU 90 Vcaps,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,April,,$13 ,12.7,100.00%
COLOSTRUM 1000 MG Supports Immune Health  CALOSTRO BOVINO Bovine colostrum extra,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$2 ,2.42,100.00%
"Healthy Fruits and Veggies - Vitamins, Minerals and Antioxidants Supplement",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,April,,$22 ,22.25,100.00%
Natrol 5-HTP Plus 200mg Time Release Tablets - 100 TABLETS!     EXP:  6.30.2023,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$15 ,15.31,100.00%
"Natural Testosterone Booster - Increase Energy, Improve Muscle Strength & Growth",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,May,,$11 ,10.84,100.00%
"Natural Testosterone Booster - Increase Energy, Improve Muscle Strength & Growth",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,June,,$11 ,10.84,100.00%
NMN - 90 Capsules - 500mg PURE NMN  SALE!!!!,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$51 ,50.515,100.00%
NMN - 90 Capsules - 500mg PURE NMN  SALE!!!!,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,April,,$51 ,50.515,100.00%
NMN - 90 Capsules - 500mg PURE NMN  SALE!!!!,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,June,,$48 ,48.29,100.00%
NOW Foods Vitamin K-2 100 mcg 100 Veg Caps,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$13 ,12.7,100.00%
"Organic Irish Sea Moss, Bladderwrack & Burdock, Thyroid & Immune Support",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$12 ,11.825,100.00%
"Premium Berberine HCL Extract 1200mg, Healthy Cholesterol, Anti-inflammatory",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$57 ,56.65,100.00%
Puritan's Pride Neuro-PS (Phosphatidylserine) 100 mg - 120 Softgels,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$25 ,25.18,100.00%
Puritan's Pride Neuro-PS (Phosphatidylserine) 100 mg - 120 Softgels,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,May,,$12 ,11.90333333,100.00%
Puritan's Pride Neuro-PS (Phosphatidylserine) 100 mg - 120 Softgels,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,June,,$24 ,23.67333333,100.00%
"Swanson High Potency Vitamin D3 Capsules, 1,000 IU, 250 Count",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$9 ,9.11,100.00%
Swanson Vitamin B-6 Pyridoxine 100 mg 250 Capsules,Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,March,,$13 ,12.64,100.00%
"Visiultra Premium Eye Health Supplement Pills, Supports Healthy Vision-60 CAPS",Health & Beauty:Vitamins & Lifestyle Supplements:Vitamins & Minerals,June,,$36 ,36.03,100.00%
"Golden Monk Fruit Sweetener 5 Lb Bulk Size, 1:1 Sugar Replacement, Keto Diet Fri",Home & Garden:Food & Beverages:Pantry:Baking & Desserts:Sugar Substitutes,April,,$34 ,34.26,100.00%
